Brand,Category,Sub-category,Product,SKU,Image filename,Name shared with another brand,Premium,Limited edition,Has image
NEXT,Chairs,Deluxe Arm Chairs,Magnetic,NP-NXT-001,NP-NXT-001.jpg,,yes,,
NEXT,Chairs,Deluxe Arm Chairs,Vanity Super DLX,NP-NXT-002,NP-NXT-002.jpg,,yes,,
NEXT,Chairs,Deluxe Armless Chairs,Discover Super DLX,NP-NXT-003,NP-NXT-003.jpg,,yes,,
NEXT,Chairs,Deluxe Armless Chairs,Caliber Super DLX,NP-NXT-004,NP-NXT-004.jpg,,yes,,
NEXT,Chairs,Deluxe Armless Chairs,Invent Super DLX,NP-NXT-005,NP-NXT-005.jpg,,yes,,
NEXT,Chairs,Steel Moulded Chairs,Cinematic,NP-NXT-006,NP-NXT-006.jpg,,,,
NEXT,Chairs,Steel Moulded Chairs,Matt,NP-NXT-007,NP-NXT-007.jpg,,,,
NEXT,Chairs,Heavy Premium Chairs,Easy,NP-NXT-008,NP-NXT-008.jpg,,yes,,
NEXT,Chairs,Heavy Premium Chairs,Vanity,NP-NXT-009,NP-NXT-009.jpg,,yes,,
NEXT,Chairs,Heavy Premium Chairs,Stark,NP-NXT-010,NP-NXT-010.jpg,,yes,,
NEXT,Chairs,Heavy Premium Chairs,Wonder,NP-NXT-011,NP-NXT-011.jpg,YES — use the SKU,yes,,
NEXT,Chairs,Heavy Premium Chairs,Magik,NP-NXT-012,NP-NXT-012.jpg,YES — use the SKU,yes,,
NEXT,Chairs,Economical Arm Chairs,Prawn,NP-NXT-013,NP-NXT-013.jpg,,,,
NEXT,Chairs,Economical Arm Chairs,Roman,NP-NXT-014,NP-NXT-014.jpg,,,,
NEXT,Chairs,Economical Arm Chairs,Wheel,NP-NXT-015,NP-NXT-015.jpg,,,,
NEXT,Chairs,Economical Arm Chairs,Avenger,NP-NXT-016,NP-NXT-016.jpg,YES — use the SKU,,,
NEXT,Chairs,Economical Arm Chairs,Treat,NP-NXT-017,NP-NXT-017.jpg,,,,
NEXT,Chairs,Economical Arm Chairs,Camry,NP-NXT-018,NP-NXT-018.jpg,YES — use the SKU,,,
NEXT,Chairs,Premium Armless Chairs,Discover,NP-NXT-019,NP-NXT-019.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Caliber,NP-NXT-020,NP-NXT-020.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Catch,NP-NXT-021,NP-NXT-021.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Ruffel,NP-NXT-022,NP-NXT-022.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Invent,NP-NXT-023,NP-NXT-023.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Spread,NP-NXT-024,NP-NXT-024.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Canny,NP-NXT-025,NP-NXT-025.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Stripes,NP-NXT-026,NP-NXT-026.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Rolex,NP-NXT-027,NP-NXT-027.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Star,NP-NXT-028,NP-NXT-028.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Delight,NP-NXT-029,NP-NXT-029.jpg,,yes,,
NEXT,Chairs,Premium Armless Chairs,Toss,NP-NXT-030,NP-NXT-030.jpg,,yes,,
NEXT,Chairs,Economical Armless Chairs,Imperial RRK,NP-NXT-031,NP-NXT-031.jpg,,,,
NEXT,Chairs,Economical Armless Chairs,Imperial New,NP-NXT-032,NP-NXT-032.jpg,,,,
NEXT,Chairs,Economical Armless Chairs,Imperial WiFi,NP-NXT-033,NP-NXT-033.jpg,,,,
NEXT,Chairs,Economical Armless Chairs,Imperial Hajipur,NP-NXT-034,NP-NXT-034.jpg,,,,
NEXT,Chairs,Economical Armless Chairs,Kinky,NP-NXT-035,NP-NXT-035.jpg,,,,
NEXT,Baby & Kids,Baby Chairs,Dolphin Easy Baby,NP-NXT-036,NP-NXT-036.jpg,,,,
NEXT,Baby & Kids,Baby Chairs,Rocker,NP-NXT-037,NP-NXT-037.jpg,,,,
NEXT,Baby & Kids,Baby Chairs,Baby Ultimate,NP-NXT-038,NP-NXT-038.jpg,YES — use the SKU,,,
NEXT,Baby & Kids,Baby Chairs,Primo,NP-NXT-039,NP-NXT-039.jpg,YES — use the SKU,,,
NEXT,Baby & Kids,Baby Chairs,Bonny,NP-NXT-040,NP-NXT-040.jpg,YES — use the SKU,,,
NEXT,Baby & Kids,Baby Chairs,Mickey,NP-NXT-041,NP-NXT-041.jpg,,,,
NEXT,Baby & Kids,Baby Chairs,Civic,NP-NXT-042,NP-NXT-042.jpg,,,,
NEXT,Baby & Kids,Baby Chairs,Ponny,NP-NXT-043,NP-NXT-043.jpg,,,,
NEXT,Baby & Kids,Baby Tables,Kinder,NP-NXT-044,NP-NXT-044.jpg,,,,
NEXT,Baby & Kids,Baby Tables,Kidjee Junior,NP-NXT-045,NP-NXT-045.jpg,,,,
NEXT,Baby & Kids,Baby Tables,Kids Playtime,NP-NXT-046,NP-NXT-046.jpg,,,,
NEXT,Stools,,Scale,NP-NXT-047,NP-NXT-047.jpg,YES — use the SKU,,,
NEXT,Stools,,Aspire,NP-NXT-048,NP-NXT-048.jpg,YES — use the SKU,,,
NEXT,Stools,,Swift,NP-NXT-049,NP-NXT-049.jpg,YES — use the SKU,,,
NEXT,Stools,,Charm,NP-NXT-050,NP-NXT-050.jpg,YES — use the SKU,,,
NEXT,Stools,,Rozy,NP-NXT-051,NP-NXT-051.jpg,,,,
NEXT,Stools,,Miracle,NP-NXT-052,NP-NXT-052.jpg,,,,
NEXT,Stools,,Marvel,NP-NXT-053,NP-NXT-053.jpg,,,,
NEXT,Stools,,Big Ponny,NP-NXT-054,NP-NXT-054.jpg,,,,
NEXT,Stools,,Enlarge Step Stool,NP-NXT-055,NP-NXT-055.jpg,,,,
NEXT,Tables,Tea Tables,Orient,NP-NXT-056,NP-NXT-056.jpg,,,,
NEXT,Tables,Tea Tables,Rider,NP-NXT-057,NP-NXT-057.jpg,,,,
NEXT,Tables,Tea Tables,Dogma,NP-NXT-058,NP-NXT-058.jpg,,,,
NEXT,Tables,Tea Tables,Mesh,NP-NXT-059,NP-NXT-059.jpg,,,,
NEXT,Tables,Dining Tables,Buffet,NP-NXT-060,NP-NXT-060.jpg,,,,
NEXT,Tables,Dining Tables,Fortune,NP-NXT-061,NP-NXT-061.jpg,,,,
NEXT,Tables,Dining Tables,Cherish,NP-NXT-062,NP-NXT-062.jpg,,,,
NEXT,Tables,Dining Tables,Glance,NP-NXT-063,NP-NXT-063.jpg,YES — use the SKU,,,
NEXT,Storage,Trolleys,Utility Rack-4,NP-NXT-064,NP-NXT-064.jpg,,,,
NEXT,Storage,Trolleys,Utility Rack-5,NP-NXT-065,NP-NXT-065.jpg,,,,
NEXT,Storage,Wardrobes,Atom 2FT,NP-NXT-066,NP-NXT-066.jpg,,,,
NEXT,Storage,Wardrobes,Atom 4FT,NP-NXT-067,NP-NXT-067.jpg,,,,
NEXT,Storage,Wardrobes,Atom 6FT,NP-NXT-068,NP-NXT-068.jpg,,,,
NEXT,Storage,Wardrobes,Princess 2FT,NP-NXT-069,NP-NXT-069.jpg,,,,
NEXT,Storage,Wardrobes,Princess 4FT,NP-NXT-070,NP-NXT-070.jpg,,,,
NEXT,Storage,Shoe Racks,Shoe Rack 2 Feet,NP-NXT-071,NP-NXT-071.jpg,,,,
NEXT,Storage,Shoe Racks,Shoe Rack 4 Feet,NP-NXT-072,NP-NXT-072.jpg,,,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Leo,NP-NTL-001,NP-NTL-001.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,King,NP-NTL-002,NP-NTL-002.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Lord,NP-NTL-003,NP-NTL-003.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Simba,NP-NTL-004,NP-NTL-004.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Sher,NP-NTL-005,NP-NTL-005.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Arjun,NP-NTL-006,NP-NTL-006.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Cheetah,NP-NTL-007,NP-NTL-007.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Tiger,NP-NTL-008,NP-NTL-008.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Panther,NP-NTL-009,NP-NTL-009.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Prince,NP-NTL-010,NP-NTL-010.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Rock,NP-NTL-011,NP-NTL-011.jpg,,yes,,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Anchor,NP-NTL-012,NP-NTL-012.jpg,,yes,,
NATIONAL,Chairs,Premium Arm Chairs,Ciaz,NP-NTL-013,NP-NTL-013.jpg,,yes,,
NATIONAL,Chairs,Premium Arm Chairs,Cruze,NP-NTL-014,NP-NTL-014.jpg,,yes,,
NATIONAL,Chairs,Premium Arm Chairs,Sumo,NP-NTL-015,NP-NTL-015.jpg,,yes,,
NATIONAL,Chairs,Premium Arm Chairs,Seltos,NP-NTL-016,NP-NTL-016.jpg,,yes,,
NATIONAL,Chairs,Premium Arm Chairs,Magik,NP-NTL-017,NP-NTL-017.jpg,YES — use the SKU,yes,,
NATIONAL,Chairs,Premium Arm Chairs,Jewel,NP-NTL-018,NP-NTL-018.jpg,,yes,,
