Drive folder,Brand,Drive name,Images,Matched SKU,Matched product,How
CAPTAIN/ARM CHAIR/AJANTA,CAPTAIN,AJANTA,13,NP-CPT-008,Ajanta,exact
CAPTAIN/ARM CHAIR/BABY ULTIMATE,CAPTAIN,BABY ULTIMATE,12,NP-CPT-012,Baby Ultimate,exact
CAPTAIN/ARM CHAIR/CAMRY,CAPTAIN,CAMRY,13,NP-CPT-007,Camry,exact
CAPTAIN/ARM CHAIR/CANNON,CAPTAIN,CANNON,20,,,NO MATCH
CAPTAIN/ARM CHAIR/CRYSTAL,CAPTAIN,CRYSTAL,10,NP-CPT-001,Crystal,exact
CAPTAIN/ARM CHAIR/CUBE,CAPTAIN,CUBE,8,NP-CPT-005,Cube,exact
CAPTAIN/ARM CHAIR/CURL,CAPTAIN,CURL,9,NP-CPT-002,Curl,exact
CAPTAIN/ARM CHAIR/CUTE,CAPTAIN,CUTE,11,NP-CPT-004,Cute,exact
CAPTAIN/ARM CHAIR/GEM,CAPTAIN,GEM,11,,,NO MATCH
CAPTAIN/ARM CHAIR/JAGUAR CAP,CAPTAIN,JAGUAR CAP,7,,,NO MATCH
CAPTAIN/ARM CHAIR/Lion,CAPTAIN,Lion,9,,,NO MATCH
CAPTAIN/ARM CHAIR/ORTHO,CAPTAIN,ORTHO,12,,,NO MATCH
CAPTAIN/ARM CHAIR/SOFA,CAPTAIN,SOFA,16,NP-CPT-006,Sofa,exact
CAPTAIN/ARM CHAIR/ULTIMATE CAP,CAPTAIN,ULTIMATE CAP,15,NP-CPT-003,Ultimate,exact
CAPTAIN/ARM CHAIR/WILLY,CAPTAIN,WILLY,10,,,NO MATCH
CAPTAIN/ARMLESS CHAIR/NEW FLORENCE CAP,CAPTAIN,NEW FLORENCE CAP,14,NP-CPT-010,New Florence,exact
CAPTAIN/ARMLESS CHAIR/OLD FLORENCE CAP,CAPTAIN,OLD FLORENCE CAP,13,NP-CPT-009,Old Florence,exact
CAPTAIN/ARMLESS CHAIR/WILLY,CAPTAIN,WILLY,9,,,NO MATCH
CAPTAIN/BABY CHAIR/BABY ULTIMATE,CAPTAIN,BABY ULTIMATE,12,NP-CPT-012,Baby Ultimate,exact
CAPTAIN/BABY CHAIR/JOYE BABY,CAPTAIN,JOYE BABY,14,NP-CPT-011,Joye Baby,exact
CAPTAIN/STOOL/CHARM STOOL,CAPTAIN,CHARM STOOL,9,,,NO MATCH
CAPTAIN/TABLE/FLORA,CAPTAIN,FLORA,20,NP-CPT-017,Flora,exact
