Brand,Category,Sub-category,Product,SKU,Premium
NEXT,Chairs,Deluxe Arm Chairs,Magnetic,NP-NXT-001,yes
NEXT,Chairs,Steel Moulded Chairs,Cinematic,NP-NXT-006,
NEXT,Chairs,Heavy Premium Chairs,Vanity,NP-NXT-009,yes
NEXT,Chairs,Economical Arm Chairs,Prawn,NP-NXT-013,
NEXT,Chairs,Economical Arm Chairs,Wheel,NP-NXT-015,
NEXT,Chairs,Premium Armless Chairs,Discover,NP-NXT-019,yes
NEXT,Chairs,Premium Armless Chairs,Caliber,NP-NXT-020,yes
NEXT,Chairs,Premium Armless Chairs,Ruffel,NP-NXT-022,yes
NEXT,Chairs,Premium Armless Chairs,Invent,NP-NXT-023,yes
NEXT,Chairs,Premium Armless Chairs,Spread,NP-NXT-024,yes
NEXT,Chairs,Premium Armless Chairs,Stripes,NP-NXT-026,yes
NEXT,Chairs,Premium Armless Chairs,Rolex,NP-NXT-027,yes
NEXT,Chairs,Premium Armless Chairs,Star,NP-NXT-028,yes
NEXT,Chairs,Economical Armless Chairs,Imperial RRK,NP-NXT-031,
NEXT,Chairs,Economical Armless Chairs,Imperial New,NP-NXT-032,
NEXT,Chairs,Economical Armless Chairs,Imperial WiFi,NP-NXT-033,
NEXT,Baby & Kids,Baby Chairs,Dolphin Easy Baby,NP-NXT-036,
NEXT,Baby & Kids,Baby Chairs,Baby Ultimate,NP-NXT-038,
NEXT,Baby & Kids,Baby Chairs,Mickey,NP-NXT-041,
NEXT,Baby & Kids,Baby Tables,Kidjee Junior,NP-NXT-045,
NEXT,Baby & Kids,Baby Tables,Kids Playtime,NP-NXT-046,
NEXT,Stools,,Swift,NP-NXT-049,
NEXT,Stools,,Charm,NP-NXT-050,
NEXT,Stools,,Marvel,NP-NXT-053,
NEXT,Stools,,Enlarge Step Stool,NP-NXT-055,
NEXT,Tables,Tea Tables,Rider,NP-NXT-057,
NEXT,Tables,Tea Tables,Dogma,NP-NXT-058,
NEXT,Tables,Tea Tables,Mesh,NP-NXT-059,
NEXT,Tables,Dining Tables,Buffet,NP-NXT-060,
NEXT,Tables,Dining Tables,Fortune,NP-NXT-061,
NEXT,Tables,Dining Tables,Cherish,NP-NXT-062,
NEXT,Tables,Dining Tables,Glance,NP-NXT-063,
NEXT,Storage,Trolleys,Utility Rack-4,NP-NXT-064,
NEXT,Storage,Trolleys,Utility Rack-5,NP-NXT-065,
NEXT,Storage,Wardrobes,Atom 2FT,NP-NXT-066,
NEXT,Storage,Wardrobes,Atom 4FT,NP-NXT-067,
NEXT,Storage,Wardrobes,Atom 6FT,NP-NXT-068,
NEXT,Storage,Wardrobes,Princess 2FT,NP-NXT-069,
NEXT,Storage,Wardrobes,Princess 4FT,NP-NXT-070,
NEXT,Storage,Shoe Racks,Shoe Rack 2 Feet,NP-NXT-071,
NEXT,Storage,Shoe Racks,Shoe Rack 4 Feet,NP-NXT-072,
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Simba,NP-NTL-004,yes
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Sher,NP-NTL-005,yes
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Arjun,NP-NTL-006,yes
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Tiger,NP-NTL-008,yes
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Rock,NP-NTL-011,yes
NATIONAL,Chairs,Heavy Guarantee Arm Chairs,Anchor,NP-NTL-012,yes
NATIONAL,Chairs,Premium Arm Chairs,Cruze,NP-NTL-014,yes
NATIONAL,Chairs,Premium Arm Chairs,Sumo,NP-NTL-015,yes
NATIONAL,Chairs,Premium Arm Chairs,Seltos,NP-NTL-016,yes
NATIONAL,Chairs,Premium Arm Chairs,Jewel,NP-NTL-018,yes
NATIONAL,Chairs,Premium Arm Chairs,Wonder,NP-NTL-024,yes
NATIONAL,Chairs,Premium Arm Chairs,Sturdy,NP-NTL-025,yes
NATIONAL,Chairs,Premium Arm Chairs,Thrill,NP-NTL-027,yes
NATIONAL,Chairs,Premium Arm Chairs,Rio,NP-NTL-029,yes
NATIONAL,Chairs,Premium Arm Chairs,New Spectrum,NP-NTL-030,yes
NATIONAL,Chairs,Premium Arm Chairs,Ultimate Premium,NP-NTL-031,yes
NATIONAL,Chairs,Premium Arm Chairs,New Fusion,NP-NTL-032,yes
NATIONAL,Chairs,Premium Arm Chairs,Alpine,NP-NTL-034,yes
NATIONAL,Chairs,Premium Arm Chairs,Techno,NP-NTL-035,yes
NATIONAL,Chairs,Premium Arm Chairs,Unique,NP-NTL-041,yes
NATIONAL,Chairs,Regular Arm Chairs,Dolphin,NP-NTL-042,
NATIONAL,Chairs,Regular Arm Chairs,Avenger,NP-NTL-043,
NATIONAL,Chairs,Regular Arm Chairs,Thunder,NP-NTL-045,
NATIONAL,Chairs,Regular Arm Chairs,Palms,NP-NTL-051,
NATIONAL,Chairs,Premium Armless Chairs,Hector,NP-NTL-057,yes
NATIONAL,Chairs,Premium Armless Chairs,Activa Superior,NP-NTL-059,yes
NATIONAL,Chairs,C Armless Chairs,Lilly,NP-NTL-065,
NATIONAL,Baby & Kids,Premium Baby Chairs,Bonny,NP-NTL-068,yes
NATIONAL,Baby & Kids,Premium Baby Chairs,Primo,NP-NTL-069,yes
NATIONAL,Baby & Kids,Premium Baby Chairs,Baby Ultimate,NP-NTL-070,yes
NATIONAL,Baby & Kids,Premium Baby Chairs,Pups,NP-NTL-071,yes
NATIONAL,Baby & Kids,Premium Baby Chairs,Tom Baby,NP-NTL-072,yes
NATIONAL,Baby & Kids,Premium Baby Chairs,Toy Baby,NP-NTL-073,yes
NATIONAL,Stools,Premium Stools,Comet,NP-NTL-079,yes
NATIONAL,Stools,Economical Stools,Charm,NP-NTL-082,
NATIONAL,Tables,Economical Coffee Tables,Indica,NP-NTL-091,
NATIONAL,Tables,Economical Coffee Tables,Alto,NP-NTL-092,
NATIONAL,Tables,Dining Tables,Punch,NP-NTL-097,
NATIONAL SAPPHIRE,Chairs,Heavy Guarantee Arm Chairs,Bheem,NP-NSP-008,yes
NATIONAL SAPPHIRE,Chairs,Economical Arm Chairs,Dolphin,NP-NSP-009,
NATIONAL SAPPHIRE,Chairs,Economical Arm Chairs,Brezza,NP-NSP-010,
NATIONAL SAPPHIRE,Baby & Kids,Baby Chairs,Toy Baby,NP-NSP-018,
NATIONAL SAPPHIRE,Tables,Premium Tea Tables,Versa Superior,NP-NSP-028,yes
NATIONAL SAPPHIRE,Tables,Premium Tea Tables,Zen Superior,NP-NSP-029,yes
NATIONAL SAPPHIRE,Tables,Premium Dining Tables,Neptune Superior,NP-NSP-034,yes
NATIONAL SAPPHIRE,Tables,Economical Dining Tables,Neptune,NP-NSP-036,
NATIONAL SAPPHIRE,Tables,Economical Dining Tables,Maharaja,NP-NSP-037,
